Plant_Code,Latitude,Longitude,Energy_Source_1
508,38.033327,-102.537915,WND
55741,40.945911,-103.162028,WND
56173,37.7033,-102.6231,WND
56320,40.983,-102.9647,WND
56371,40.8944,-104.0206,WND
56460,37.6735,-102.8622,WND
56481,37.690304,-105.880501,SUN
56563,40.986,-103.436,WND
56613,40.941,-103.259,WND
56815,39.902984,-104.659252,SUN
56922,39.522904,-107.81341,SUN
57141,40.591099,-105.145904,SUN
57174,40.756944,-102.743055,WND
57210,40.9475,-103.783889,WND
57244,39.3383,-102.3533,WND
57290,40.9881,-102.8969,WND
57315,39.421787,-103.67814,WND
57317,37.694535,-105.927622,SUN
57368,37.598579,-105.955832,SUN
57377,37.685467,-105.8909,SUN
57507,40.592841,-105.147097,SUN
57509,38.7228,-104.7817,SUN
57554,38.957901,-104.806627,SUN
57643,38.1728,-104.62,WND
57645,39.904133,-104.654183,SUN
57681,40.048025,-105.180327,SUN
57980,37.801111,-104.491944,WND
58126,39.380975,-103.573236,WND
58127,39.341389,-103.581111,WND
58481,38.306111,-104.58,SUN
58547,38.2725,-108.785556,SUN
58548,37.772222,-104.832222,WND
58769,40.964167,-103.077222,WND
59083,39.353333,-103.474167,WND
59144,39.9825,-104.940833,SUN
59198,40.6316,-103.194694,SUN
59199,39.0672,-108.509139,SUN
59239,39.526111,-107.696111,SUN
59462,39.902697,-104.673935,SUN
59656,38.205278,-104.566667,SUN
59742,39.415027,-107.157188,SUN
59807,39.899455,-104.674809,SUN
59848,38.7745,-104.7458,SUN
59849,39.7876,-104.5859,SUN
59850,39.7867,-104.5877,SUN
59974,38.935,-104.212,WND
59975,39.334,-102.173,WND
60008,37.691863,-105.990812,SUN
60023,40.081444,-104.746661,SUN
60143,37.710444,-104.505464,WND
60247,40.418786,-104.891944,SUN
60248,40.577889,-104.894792,SUN
60283,40.23,-105.03,SUN
60304,37.372,-104.843,SUN
60320,39.859564,-105.149694,SUN
60351,40.863809,-105.0111,SUN
60497,40.579472,-104.895675,SUN
60511,38.602102,-104.694688,SUN
60619,39.172111,-103.845358,WND
60720,40.232146,-104.791865,SUN
60722,40.609968,-103.145084,SUN
60723,37.195886,-105.982424,SUN
60724,39.638358,-104.674249,SUN
60725,39.784937,-104.583391,SUN
